timestamp,open,high,low,close,volume
2025-07-23 10:00:00,4493.31,4581.67,3546.0,3737.92,35898.93
2025-07-23 11:00:00,3737.92,4696.96,3585.27,4690.85,414620.36
2025-07-23 12:00:00,4690.85,4696.96,4690.85,4690.85,46720.38
2025-07-23 13:00:00,4690.85,4696.96,4690.85,4690.85,46947.11
2025-07-23 14:00:00,4690.85,5305.97,4690.85,5305.97,436911.16
2025-07-23 15:00:00,5305.97,8209.46,3539.89,3992.5,197641.05
2025-07-23 16:00:00,3992.5,4080.61,3975.0,3975.0,31678.43
2025-07-23 17:00:00,3975.0,4050.84,3975.0,3975.0,32957.14
2025-07-23 18:00:00,3975.0,4058.17,3975.0,3975.0,33384.49
2025-07-23 19:00:00,3975.0,4116.8,3975.0,3975.0,33184.69
2025-07-23 20:00:00,3975.0,4050.84,3975.0,3975.0,32887.13
2025-07-23 21:00:00,3975.0,4054.5,3975.0,4054.5,31566.51
2025-07-23 22:00:00,4054.5,4133.26,3975.0,4090.2,22066.51
2025-07-23 23:00:00,4090.2,4167.5,3975.0,4077.0,21625.3
2025-07-24 00:00:00,4077.0,4161.67,3975.0,4102.1,21849.37
2025-07-24 01:00:00,4102.1,4180.09,3975.0,4084.25,21527.88
2025-07-24 02:00:00,4084.25,4132.5,3975.0,4066.4,21688.18
2025-07-24 03:00:00,4066.4,4406.67,3975.0,4374.25,3313.76
2025-07-24 04:00:00,4374.25,4447.5,4285.93,4354.17,63.28
2025-07-24 05:00:00,4354.17,4427.61,4285.93,4383.34,63.41
2025-07-24 06:00:00,4383.34,5200.0,4285.93,4966.67,140.34
2025-07-24 07:00:00,4966.67,5060.0,4663.34,4850.0,98.43
2025-07-24 08:00:00,4850.0,4854.79,4285.93,4704.72,282.27
2025-07-24 09:00:00,4704.72,6325.84,4593.34,6325.84,214557.12
2025-07-24 10:00:00,6325.84,8595.72,3605.0,4424.17,57158.38
2025-07-24 11:00:00,4424.17,5232.24,4067.18,4423.5,1508.87
2025-07-24 12:00:00,4423.5,5728.58,4423.5,5728.58,1079.33
2025-07-24 13:00:00,5728.58,7685.0,5690.0,7661.67,117.47
2025-07-24 14:00:00,7661.67,7662.36,4067.18,5168.16,16830.87
2025-07-24 15:00:00,5168.16,6506.67,4937.5,6506.67,145.22
2025-07-24 16:00:00,6506.67,8308.52,6133.34,8135.46,347.25
2025-07-24 17:00:00,8135.46,8215.56,7976.67,8038.94,23.13
2025-07-24 18:00:00,8038.94,8282.41,7976.67,8079.22,25.72
2025-07-24 19:00:00,8079.22,8278.19,3834.35,3986.67,12754.95
2025-07-24 20:00:00,3986.67,4180.09,3834.35,4072.61,25445.59
2025-07-24 21:00:00,4072.61,4127.83,3597.07,3656.0,27254.36
2025-07-24 22:00:00,3656.0,3948.98,3607.6,3940.42,34034.49
2025-07-24 23:00:00,3940.42,4144.17,3642.92,4111.46,36703.82
